user1,user2,weight
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,4a4e0b255970b061987faf747a5937eb20cde3f62ea4432db39a2064a500170d,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,4afa63d0310df93ed087dc2e33b18f913bf56c51a4e64f1dbd4abbbc209437af,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,5919e0b035d24b12928b768560a79e0235a363604ad312840237c308b09291bf,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,6f0b2ba4f2a1fa585e1c4fe233f7f91904e49919cfc29c358cd7888aa94f95b6,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,7b308d8a7563a6c864dfd4997bbfd3c009ec0edfb81182bb1ebb57f0cadba0d9,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,831757634b3dc69a40489829a79e4616080f7d9198fe242747c00610460efdbc,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,c4911e95266bfd8869f9b8a17d17420decb83da6bb6ae1037e237a29ca3a7aaa,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,cced1c6dd3a4a2687180906c4353a7c984ab1a9fe6305a1ce8d839517f7d9d32,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,d8b0abf2de5dbf3ffc95051a36ed80fa2cda0b92efe487086cd1137e7d352b78,1
016f293cdd762c95ce43530243ae3f8e9711137eb26253bb60246b6f10008216,f2c091345d45dc892e9badc31fc89ddd1c1554d1ec85bb34cc86106dd9c39390,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,2347ccb51951282b75565934b3a681ecae4864529ca38700b0ceb9d9104c02c6,1
02c9129548e92a2052f616144b1691703433e10308996993c1f1277d609996ac,2f16214a72acf400ae907b8ebc055de1757c5ed0157388740350575b926b1c67,1
